DATAFLOW,REF_AREA,FREQ,MEASURE,CUR,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_LCU,2022,3520.573,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_LCU,2023,3703.016,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_LCU,2024,4023.436,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,1995,1153,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,1996,1174,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,1997,1183,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,1998,1192,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,1999,1192,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2000,1192,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2001,1200,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2002,1218,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2003,1226,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2004,1265,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2005,1304,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2006,1343,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2007,1387,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2008,1343.333,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2009,1386.667,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2010,1386.667,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2011,1516.667,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2012,1606.8,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2013,1646.667,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2014,1733.333,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2015,1785.333,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
