DATAFLOW,REF_AREA,FREQ,MEASURE,CUR,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2022,2492.667,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2023,2652.948,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),AUS,A,EAR_INEE_NB,CUR_TYPE_PPP,2024,2818.721,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Weekly figure multiplied by 4.33 weeks | AUD: Australian dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,1995,907.567,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,1996,930.034,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,1997,940.652,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,1998,942.963,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,1999,941.667,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2000,938.531,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2001,944.081,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
